Codigo,Campo,Valor,Fuente,FuenteURL
38011042,ZonaInspeccionCodigo,724,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38011042
38011042,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38011042
38011108,Telefono,922-760423,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38011108
38011984,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38011984
38011984,ZonaInspeccionCodigo,717,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38011984
38011984,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38011984
38012009,Telefono,922-760702,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38012009
38015217,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015217
38015217,ZonaInspeccionCodigo,728,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015217
38015217,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015217
38015254,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015254
38015254,ZonaInspeccionCodigo,728,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015254
38015254,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015254
38015333,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015333
38015333,ZonaInspeccionCodigo,726,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015333
38015333,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015333
38015382,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015382
38015382,ZonaInspeccionCodigo,725,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015382
38015382,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015382
38015461,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38015461
