Codigo,Isla,Municipio,CentroProfesoresCodigo,CentroProfesoresNombre,URLWebCEP
,GRAN CANARIA,VEGA DE SAN MATEO,35700468,C.PROFES. LAS PALMAS DE GRAN CANARIA,http://www.ceplaspalmas2.com
,LA GOMERA,AGULO,38702566,C.PROFES. LA GOMERA,http://www.gobiernodecanarias.org/educacion/usr/ceplagomera
,LA GOMERA,ALAJERÓ,38702566,C.PROFES. LA GOMERA,http://www.gobiernodecanarias.org/educacion/usr/ceplagomera
,LA GOMERA,HERMIGUA,38702566,C.PROFES. LA GOMERA,http://www.gobiernodecanarias.org/educacion/usr/ceplagomera
,LA GOMERA,SAN SEBASTIÁN DE LA GOMERA,38702566,C.PROFES. LA GOMERA,http://www.gobiernodecanarias.org/educacion/usr/ceplagomera
,LA GOMERA,VALLE GRAN REY,38702566,C.PROFES. LA GOMERA,http://www.gobiernodecanarias.org/educacion/usr/ceplagomera
,LA GOMERA,VALLEHERMOSO,38702566,C.PROFES. LA GOMERA,http://www.gobiernodecanarias.org/educacion/usr/ceplagomera
,LA PALMA,BARLOVENTO,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,BREÑA ALTA,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,BREÑA BAJA,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,EL PASO,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,FUENCALIENTE DE LA PALMA,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,GARAFÍA,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,LOS LLANOS DE ARIDANE,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,PUNTAGORDA,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,PUNTALLANA,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,SAN ANDRÉS Y SAUCES,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,SANTA CRUZ DE LA PALMA,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
,LA PALMA,TAZACORTE,38700406,C.PROFES. DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma
